group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G06,G06_C001,Study planning,Study Strategies,L0_NORMAL,How can weekly study plans improve student performance in developmental mathematics courses,"Weekly study plans have been shown to significantly improve student performance in developmental mathematics courses by promoting consistent and structured study habits. In a study conducted by Diehl and Bobak, students who used weekly study plans earned higher average grades across all exams and overall course grades compared to a control group. These plans encourage daily review of material, which helps reinforce learning, improve retention of foundational concepts, and reduce the tendency to cram before exams. By breaking down study tasks into manageable daily activities, students are better prepared to master complex mathematical concepts over time rather than relying on last-minute studying.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C002,Study planning,Time Management,L0_NORMAL,"Why is time management a critical factor in student success, particularly in developmental math courses","Time management is a critical factor in student success because many students enter college unprepared for the increased workload and lack the organizational skills needed to balance academic demands. In developmental math courses, poor time management can exacerbate difficulties, as students often struggle with foundational concepts that require consistent practice. Research by Meer, Jansen, and Torenbeek (2010) found that students recognized the need for more study time but failed to create actionable plans, leading to procrastination. Effective time management, such as using weekly study plans, helps students allocate dedicated study time, prioritize tasks, and avoid last-minute cramming, which is particularly ineffective for long-term retention in math.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C003,Study planning,Study Strategies,L0_NORMAL,What role do short-term planning and goal-setting play in overcoming procrastination,"Short-term planning and goal-setting are effective strategies for overcoming procrastination because they break down overwhelming tasks into manageable steps. Research by Nasrullah and Khan (2015) found a positive correlation between short-term planning and student grades, as it helps students prioritize responsibilities and create actionable to-do lists. Setting daily or weekly goals allows students to focus on immediate tasks rather than feeling daunted by long-term objectives. Additionally, constructing study plans with specific activities, such as reviewing five homework problems daily, provides a clear roadmap for progress. This approach reduces anxiety and increases motivation by making tasks feel achievable and structured.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C004,Study planning,Academic Success,L0_NORMAL,How do weekly study plans address the issue of poor retention in developmental mathematics,"Weekly study plans address poor retention in developmental mathematics by encouraging daily engagement with course material, which reinforces learning and prevents forgetting. In the study by Diehl and Bobak, students who used study plans were required to review mathematical concepts regularly, such as selecting five homework problems from previous sections to practice each day. This distributive practice, as recommended by Dunlosky (2013), is far more effective for long-term retention than cramming. By consistently revisiting foundational concepts, students strengthen their understanding and are better prepared to learn new material. The structured nature of study plans also ensures that students do not neglect review sessions, which are critical for retaining information in math courses.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C005,Study planning,Study Strategies,L0_NORMAL,What specific activities were included in the weekly study plans used in Diehl and Bobak’s research,"The weekly study plans in Diehl and Bobak’s research included a structured approach to daily math engagement. Students were required to plan two learning activities each weekday and one activity each weekend day. They began by scheduling nonnegotiable tasks, such as homework assignments or online videos, followed by review activities. For upcoming quizzes or exams, students selected five homework problems from relevant sections to practice. If no assessments were scheduled, they chose five problems from sections they struggled with or had not reviewed recently. This approach ensured that students consistently reinforced current learning, revisited challenging material, and prepared for assessments in a manageable way.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C006,Study planning,Academic Success,L0_NORMAL,What were the key findings of Diehl and Bobak’s study on the effectiveness of weekly study plans,"Diehl and Bobak’s study found that weekly study plans significantly improved student performance in developmental mathematics courses. The experimental group, which used study plans, earned higher average grades on all exams and overall course grades compared to the control group. The study also highlighted that students who engaged in daily review through study plans retained foundational concepts better, reducing struggles with new material. Additionally, the structured nature of the plans helped students develop consistent study habits, which are critical for success in math. The findings suggest that weekly study plans are an effective tool for addressing both cognitive and affective barriers to student achievement in developmental courses.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C007,Study planning,Time Management,L0_NORMAL,How can students create an effective weekly study plan for mathematics,"Creating an effective weekly study plan for mathematics involves breaking down study tasks into manageable daily activities while prioritizing consistency and review. Start by scheduling nonnegotiable tasks, such as homework assignments or required online videos, to ensure they are completed on time. Next, identify upcoming quizzes or exams and select five practice problems from relevant sections to review daily. If no assessments are scheduled, choose five problems from sections you found challenging or haven’t reviewed recently. Aim to engage with math daily, including weekends, to reinforce learning. Finally, submit or review your plan at the start of each week to stay accountable and adjust as needed. This approach ensures regular practice, reduces procrastination, and improves retention.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C008,Study planning,Academic Success,L0_NORMAL,"What challenges do students in developmental mathematics courses commonly face, and how can study plans help","Students in developmental mathematics courses often face challenges such as poor high school preparation, lack of time management skills, and difficulty retaining foundational concepts. Many students enter college unprepared for the workload and struggle with organizational skills, leading to procrastination and cramming. Study plans address these challenges by providing a structured approach to daily review, which reinforces learning and improves retention. By breaking down study tasks into manageable activities, such as reviewing five problems daily, students can build confidence and consistency. Additionally, study plans help students prioritize responsibilities and develop effective study habits, reducing the tendency to procrastinate and improving overall performance in math courses.",G06_S001,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C009,Study planning,Study Strategies,L0_NORMAL,"What are learning and study strategies, and why are they important for students","Learning and study strategies refer to a set of behaviors, actions, attitudes, or ways of thinking that help students effectively encode, integrate, and retrieve new information. These strategies facilitate the combination of new knowledge with prior knowledge, ensuring it can be accessed when needed. They are crucial because they empower students to become self-reliant, independent learners who can monitor their own progress, use appropriate strategies for different tasks, and take responsibility for their success. By adopting these strategies, students enhance their self-confidence, motivation, and ability to manage time and resources, ultimately leading to improved academic achievement and long-term learning success.",G06_S002,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
G06,G06_C010,Study planning,Academic Achievement,L0_NORMAL,How do learning and study strategies impact academic achievement among undergraduate students,"The study found that learning and study strategies have a significant positive impact on academic achievement. High-achieving students tend to use strategies such as motivation, self-testing, test strategies, and effective use of academic resources more consistently than low-achieving students. The research revealed statistically significant differences in several dimensions of learning strategies—including attitudes, concentration, information processing, and motivation—in favor of students with higher achievement levels. These strategies help students process information more effectively, manage anxiety, and stay focused, which directly contributes to better academic outcomes. Thus, mastering these strategies is key to improving performance in university settings.",G06_S002,Academic planning and general study support,Diagnosis; medication; therapy; guaranteed outcomes,English
