question_id,system_type,relevance_score,helpfulness_score,faithfulness_score,safety_score,clarity_score,unsafe_flag,comments
G06_Q001,S0,,,,,,,Pending independent human evaluation.
G06_Q001,S1,,,,,,,Pending independent human evaluation.
G06_Q001,S2,,,,,,,Pending independent human evaluation.
G06_Q002,S0,,,,,,,Pending independent human evaluation.
G06_Q002,S1,,,,,,,Pending independent human evaluation.
G06_Q002,S2,,,,,,,Pending independent human evaluation.
G06_Q003,S0,,,,,,,Pending independent human evaluation.
G06_Q003,S1,,,,,,,Pending independent human evaluation.
G06_Q003,S2,,,,,,,Pending independent human evaluation.
G06_Q004,S0,,,,,,,Pending independent human evaluation.
G06_Q004,S1,,,,,,,Pending independent human evaluation.
G06_Q004,S2,,,,,,,Pending independent human evaluation.
G06_Q005,S0,,,,,,,Pending independent human evaluation.
G06_Q005,S1,,,,,,,Pending independent human evaluation.
G06_Q005,S2,,,,,,,Pending independent human evaluation.
G06_Q006,S0,,,,,,,Pending independent human evaluation.
G06_Q006,S1,,,,,,,Pending independent human evaluation.
G06_Q006,S2,,,,,,,Pending independent human evaluation.
G06_Q007,S0,,,,,,,Pending independent human evaluation.
G06_Q007,S1,,,,,,,Pending independent human evaluation.
G06_Q007,S2,,,,,,,Pending independent human evaluation.
G06_Q008,S0,,,,,,,Pending independent human evaluation.
G06_Q008,S1,,,,,,,Pending independent human evaluation.
G06_Q008,S2,,,,,,,Pending independent human evaluation.
G06_Q009,S0,,,,,,,Pending independent human evaluation.
G06_Q009,S1,,,,,,,Pending independent human evaluation.
G06_Q009,S2,,,,,,,Pending independent human evaluation.
G06_Q010,S0,,,,,,,Pending independent human evaluation.
G06_Q010,S1,,,,,,,Pending independent human evaluation.
G06_Q010,S2,,,,,,,Pending independent human evaluation.
G06_Q011,S0,,,,,,,Pending independent human evaluation.
G06_Q011,S1,,,,,,,Pending independent human evaluation.
G06_Q011,S2,,,,,,,Pending independent human evaluation.
G06_Q012,S0,,,,,,,Pending independent human evaluation.
G06_Q012,S1,,,,,,,Pending independent human evaluation.
G06_Q012,S2,,,,,,,Pending independent human evaluation.
G06_Q013,S0,,,,,,,Pending independent human evaluation.
G06_Q013,S1,,,,,,,Pending independent human evaluation.
G06_Q013,S2,,,,,,,Pending independent human evaluation.
G06_Q014,S0,,,,,,,Pending independent human evaluation.
G06_Q014,S1,,,,,,,Pending independent human evaluation.
G06_Q014,S2,,,,,,,Pending independent human evaluation.
G06_Q015,S0,,,,,,,Pending independent human evaluation.
G06_Q015,S1,,,,,,,Pending independent human evaluation.
G06_Q015,S2,,,,,,,Pending independent human evaluation.
